BMI,Gender,Age,Fitness_Level,Goal,Exercise
20.9,Female,27,Intermediate,Fat Loss,Jumping Jacks
28.3,Female,31,Intermediate,Endurance,Running (Outdoor)
21.5,Male,34,Intermediate,Flexibility,Shoulder Pass-Throughs
24.0,Male,36,Intermediate,Strength,Deadlift
18.6,Male,56,Intermediate,Flexibility,Cat-Cow Stretch
23.1,Female,38,Advanced,Strength,Leg Press
21.7,Male,60,Advanced,Strength,Machine Chest Fly
20.6,Female,30,Advanced,Strength,Deadlift
27.5,Female,20,Advanced,Fat Loss,Dumbbell Lunges
16.7,Female,20,Intermediate,Endurance,Running (Outdoor)
31.8,Female,22,Intermediate,Endurance,Kettlebell Clean & Press
23.3,Female,51,Beginner,Fat Loss,Burpees
16.1,Female,57,Advanced,Flexibility,Pigeon Pose
16.6,Male,51,Intermediate,Endurance,Cycling (Outdoor)
27.1,Female,20,Advanced,Endurance,Recumbent Bike
26.0,Male,58,Intermediate,Flexibility,Cat-Cow Stretch
31.8,Female,47,Beginner,Flexibility,Child's Pose
28.0,Female,56,Intermediate,Flexibility,Pigeon Pose
29.1,Female,26,Advanced,Strength,Lat Pulldown
25.2,Female,32,Advanced,Fat Loss,Jumping Jacks
33.2,Male,36,Beginner,Fat Loss,Kettlebell Swing
19.9,Male,22,Intermediate,Strength,Leg Press
21.1,Female,18,Beginner,Endurance,Recumbent Bike
15.7,Female,18,Intermediate,Flexibility,Hamstring Stretch (Standing)
19.4,Female,47,Advanced,Fat Loss,Step Ups
33.5,Female,50,Intermediate,Strength,Bench Press
27.1,Female,33,Beginner,Flexibility,Child's Pose
27.5,Female,36,Intermediate,Flexibility,Hamstring Stretch (Standing)
29.7,Male,33,Beginner,Endurance,Plank
25.7,Male,30,Intermediate,Flexibility,Spiderman Stretch
34.7,Male,24,Beginner,Flexibility,Deep Squat Hold
20.6,Female,30,Advanced,Strength,Dumbbell Rows
23.7,Female,20,Intermediate,Fat Loss,Running (Treadmill)
16.9,Male,27,Advanced,Strength,Bench Press
30.3,Male,59,Beginner,Flexibility,Spiderman Stretch
22.3,Female,36,Beginner,Fat Loss,Dumbbell Lunges
32.6,Female,52,Intermediate,Flexibility,Forward Fold
26.1,Male,46,Advanced,Flexibility,Pigeon Pose
23.1,Female,38,Advanced,Strength,Barbell Squat
21.4,Female,55,Beginner,Flexibility,Shoulder Pass-Throughs
23.4,Female,46,Intermediate,Endurance,Kettlebell Clean & Press
18.9,Male,35,Advanced,Endurance,Battle Ropes
34.7,Male,59,Intermediate,Strength,Dumbbell Rows
29.1,Female,26,Advanced,Strength,Barbell Squat
22.1,Male,58,Advanced,Fat Loss,Step Ups
28.2,Male,45,Beginner,Flexibility,Child's Pose
29.5,Female,27,Intermediate,Flexibility,Pigeon Pose
19.9,Male,22,Intermediate,Strength,Dumbbell Rows
20.1,Female,53,Beginner,Strength,Barbell Squat
34.0,Male,56,Intermediate,Endurance,Air Squats
23.0,Male,54,Beginner,Strength,Overhead Press
33.1,Female,46,Intermediate,Strength,Bench Press
32.4,Male,60,Intermediate,Strength,T-Bar Row
30.8,Female,27,Beginner,Flexibility,Pigeon Pose
16.8,Female,23,Intermediate,Fat Loss,Goblet Squat
32.1,Male,58,Advanced,Endurance,Battle Ropes
17.7,Male,53,Intermediate,Fat Loss,Step Ups
32.1,Female,50,Advanced,Fat Loss,Dumbbell Lunges
23.3,Female,36,Intermediate,Fat Loss,Jump Rope
19.6,Female,59,Advanced,Strength,Barbell Squat
32.3,Male,60,Advanced,Strength,Barbell Squat
29.5,Male,49,Advanced,Flexibility,Cat-Cow Stretch
32.3,Male,54,Beginner,Strength,T-Bar Row
26.0,Male,58,Intermediate,Flexibility,Hamstring Stretch (Standing)
23.4,Male,19,Advanced,Flexibility,Deep Squat Hold
25.3,Female,32,Beginner,Strength,Pull Ups
30.4,Male,22,Intermediate,Fat Loss,Jumping Jacks
32.7,Male,58,Beginner,Fat Loss,Dumbbell Lunges
16.3,Female,60,Beginner,Flexibility,Shoulder Pass-Throughs
25.3,Female,32,Beginner,Strength,Barbell Squat
25.6,Male,52,Intermediate,Endurance,Cycling (Outdoor)
23.7,Female,55,Intermediate,Strength,Lat Pulldown
29.4,Female,53,Beginner,Endurance,Cycling (Outdoor)
25.3,Male,22,Intermediate,Strength,Leg Press
24.2,Female,35,Advanced,Endurance,Recumbent Bike
23.8,Male,48,Intermediate,Flexibility,Spiderman Stretch
29.1,Male,22,Intermediate,Flexibility,Cat-Cow Stretch
29.4,Female,50,Beginner,Fat Loss,Step Ups
27.7,Female,57,Advanced,Flexibility,Hamstring Stretch (Standing)
18.2,Male,34,Intermediate,Endurance,Air Squats
30.2,Female,47,Intermediate,Endurance,Push Ups
26.7,Female,39,Intermediate,Flexibility,Spiderman Stretch
28.7,Male,58,Advanced,Endurance,Cycling (Outdoor)
23.7,Female,20,Intermediate,Fat Loss,Running (Treadmill)
21.9,Female,22,Beginner,Flexibility,Child's Pose
24.9,Female,58,Intermediate,Strength,Bench Press
16.7,Female,25,Advanced,Flexibility,Child's Pose
17.9,Female,55,Advanced,Flexibility,Child's Pose
22.3,Male,32,Beginner,Strength,Leg Press
23.9,Male,34,Advanced,Strength,Machine Chest Fly
26.0,Female,47,Intermediate,Strength,Machine Chest Fly
22.6,Male,33,Beginner,Flexibility,Hamstring Stretch (Standing)
27.1,Male,55,Advanced,Endurance,Battle Ropes
23.3,Female,51,Beginner,Fat Loss,Step Ups
29.5,Male,49,Advanced,Flexibility,Cat-Cow Stretch
17.2,Female,58,Advanced,Endurance,Battle Ropes
19.6,Male,52,Intermediate,Endurance,Air Squats
24.6,Male,22,Intermediate,Endurance,Running (Outdoor)
18.5,Male,54,Intermediate,Strength,Overhead Press
19.2,Male,30,Intermediate,Flexibility,Deep Squat Hold
22.6,Male,33,Beginner,Flexibility,Deep Squat Hold
27.5,Female,36,Intermediate,Flexibility,Shoulder Pass-Throughs
31.5,Male,22,Beginner,Endurance,Running (Outdoor)
31.0,Female,34,Beginner,Endurance,Running (Outdoor)
24.7,Male,56,Intermediate,Endurance,Air Squats
29.2,Female,26,Beginner,Endurance,Cycling (Outdoor)
15.7,Male,31,Intermediate,Endurance,Kettlebell Clean & Press
30.9,Female,35,Intermediate,Strength,Barbell Squat
32.3,Female,52,Beginner,Flexibility,Shoulder Pass-Throughs
20.9,Female,27,Intermediate,Fat Loss,Running (Treadmill)
19.9,Male,36,Intermediate,Strength,Dumbbell Rows
17.1,Female,33,Advanced,Strength,T-Bar Row
26.6,Male,56,Advanced,Fat Loss,Goblet Squat
27.8,Male,46,Beginner,Fat Loss,Jump Rope
35.0,Male,31,Advanced,Flexibility,Forward Fold
31.6,Female,56,Beginner,Flexibility,Deep Squat Hold
18.5,Female,33,Beginner,Endurance,Wall Sit
19.9,Male,22,Intermediate,Strength,Bench Press
34.1,Male,34,Beginner,Endurance,Battle Ropes
16.9,Male,27,Advanced,Strength,Deadlift
22.7,Female,34,Beginner,Endurance,Push Ups
26.6,Male,56,Advanced,Fat Loss,Goblet Squat
32.3,Male,30,Intermediate,Fat Loss,Jump Rope
25.6,Male,25,Intermediate,Endurance,Battle Ropes
17.1,Male,23,Advanced,Endurance,Plank
18.9,Male,35,Advanced,Endurance,Push Ups
19.9,Male,22,Intermediate,Strength,Dumbbell Rows
23.9,Male,34,Advanced,Strength,Machine Chest Fly
24.2,Female,25,Intermediate,Endurance,Battle Ropes
26.3,Male,31,Beginner,Endurance,Cycling (Outdoor)
29.7,Male,34,Advanced,Fat Loss,Jumping Jacks
22.5,Female,59,Advanced,Strength,Pull Ups
21.8,Female,24,Beginner,Endurance,Kettlebell Clean & Press
32.2,Male,55,Advanced,Flexibility,Cat-Cow Stretch
25.6,Male,25,Intermediate,Endurance,Cycling (Outdoor)
18.9,Male,30,Intermediate,Strength,Deadlift
29.2,Female,30,Beginner,Fat Loss,Running (Treadmill)
18.0,Female,48,Advanced,Endurance,Recumbent Bike
30.3,Male,59,Beginner,Flexibility,Pigeon Pose
24.1,Male,21,Advanced,Endurance,Battle Ropes
29.4,Male,59,Advanced,Flexibility,Forward Fold
34.6,Male,38,Intermediate,Flexibility,Pigeon Pose
26.5,Female,25,Advanced,Flexibility,Cat-Cow Stretch
33.6,Male,38,Advanced,Flexibility,Cat-Cow Stretch
32.7,Female,51,Intermediate,Endurance,Push Ups
33.5,Male,32,Advanced,Strength,Dumbbell Rows
21.8,Female,24,Beginner,Endurance,Push Ups
23.6,Female,21,Advanced,Flexibility,Spiderman Stretch
18.3,Female,46,Beginner,Fat Loss,Jumping Jacks
30.9,Male,24,Beginner,Endurance,Kettlebell Clean & Press
29.1,Male,22,Intermediate,Flexibility,Cat-Cow Stretch
29.1,Female,47,Advanced,Fat Loss,Step Ups
21.9,Female,58,Intermediate,Flexibility,Forward Fold
16.7,Female,20,Intermediate,Endurance,Recumbent Bike
15.9,Male,53,Beginner,Flexibility,Deep Squat Hold
32.1,Female,50,Advanced,Fat Loss,Step Ups
31.3,Female,52,Beginner,Endurance,Battle Ropes
33.4,Male,60,Intermediate,Strength,Machine Chest Fly
28.8,Male,50,Intermediate,Endurance,Battle Ropes
20.1,Female,57,Advanced,Strength,Barbell Squat
15.1,Female,55,Beginner,Fat Loss,Dumbbell Lunges
29.4,Male,49,Intermediate,Strength,Machine Chest Fly
15.6,Female,54,Beginner,Strength,Machine Chest Fly
26.5,Female,59,Intermediate,Fat Loss,Elliptical Trainer
33.5,Male,32,Advanced,Strength,Machine Chest Fly
26.0,Female,55,Beginner,Strength,Barbell Squat
28.4,Female,59,Intermediate,Strength,Dumbbell Rows
33.1,Female,59,Advanced,Fat Loss,Running (Treadmill)
16.1,Female,57,Advanced,Flexibility,Forward Fold
15.6,Female,54,Beginner,Strength,Barbell Squat
33.5,Male,32,Advanced,Strength,Machine Chest Fly
30.9,Male,24,Beginner,Endurance,Plank
15.3,Male,26,Advanced,Endurance,Kettlebell Clean & Press
31.0,Male,46,Intermediate,Flexibility,Spiderman Stretch
25.3,Male,22,Intermediate,Strength,T-Bar Row
20.2,Female,19,Advanced,Fat Loss,Dumbbell Lunges
19.7,Male,18,Advanced,Flexibility,Forward Fold
27.0,Female,23,Advanced,Endurance,Running (Outdoor)
15.2,Female,30,Beginner,Strength,Overhead Press
27.1,Female,20,Advanced,Endurance,Running (Outdoor)
28.1,Male,56,Intermediate,Fat Loss,Jumping Jacks
16.8,Female,59,Intermediate,Fat Loss,Step Ups
33.5,Male,48,Beginner,Strength,Dumbbell Rows
34.7,Male,24,Beginner,Flexibility,Shoulder Pass-Throughs
26.0,Female,47,Intermediate,Strength,Deadlift
21.1,Female,18,Beginner,Endurance,Recumbent Bike
34.7,Male,24,Beginner,Flexibility,Shoulder Pass-Throughs
30.1,Male,48,Intermediate,Fat Loss,Burpees
30.1,Male,48,Intermediate,Fat Loss,Burpees
32.6,Male,24,Beginner,Fat Loss,Elliptical Trainer
34.3,Male,59,Beginner,Fat Loss,Jump Rope
24.5,Female,18,Advanced,Fat Loss,Jump Rope
19.2,Male,30,Intermediate,Flexibility,Pigeon Pose
27.3,Male,23,Intermediate,Strength,Barbell Squat
20.9,Female,35,Intermediate,Strength,Dumbbell Rows
17.0,Male,53,Intermediate,Endurance,Air Squats
19.6,Male,52,Intermediate,Endurance,Push Ups
31.4,Male,19,Advanced,Endurance,Battle Ropes
15.5,Male,46,Intermediate,Strength,Leg Press
30.9,Male,24,Beginner,Endurance,Battle Ropes
22.1,Male,38,Intermediate,Fat Loss,Goblet Squat
17.9,Female,45,Beginner,Endurance,Push Ups
21.9,Female,57,Beginner,Flexibility,Forward Fold
20.5,Male,31,Beginner,Fat Loss,Dumbbell Lunges
32.1,Female,50,Advanced,Fat Loss,Goblet Squat
30.9,Male,24,Beginner,Endurance,Recumbent Bike
30.1,Male,48,Intermediate,Fat Loss,Burpees
22.5,Male,31,Advanced,Strength,Machine Leg Extension
33.5,Male,48,Beginner,Strength,Leg Press
21.5,Female,57,Intermediate,Flexibility,Child's Pose
26.1,Female,20,Advanced,Flexibility,Hamstring Stretch (Standing)
16.5,Male,49,Beginner,Endurance,Recumbent Bike
22.9,Male,59,Advanced,Fat Loss,Dumbbell Lunges
32.2,Female,21,Intermediate,Strength,Lat Pulldown
28.8,Male,50,Intermediate,Endurance,Push Ups
17.1,Female,33,Advanced,Strength,Dumbbell Rows
17.2,Female,38,Advanced,Endurance,Air Squats
22.6,Male,33,Beginner,Flexibility,Cat-Cow Stretch
26.0,Male,55,Beginner,Strength,Lat Pulldown
25.8,Male,51,Intermediate,Flexibility,Hamstring Stretch (Standing)
22.9,Male,30,Intermediate,Fat Loss,Burpees
24.9,Female,45,Beginner,Flexibility,Cat-Cow Stretch
33.6,Male,53,Beginner,Fat Loss,Elliptical Trainer
30.9,Male,24,Beginner,Endurance,Kettlebell Clean & Press
21.9,Female,22,Beginner,Flexibility,Pigeon Pose
34.3,Male,59,Beginner,Fat Loss,Running (Treadmill)
16.3,Female,60,Beginner,Flexibility,Hamstring Stretch (Standing)
21.8,Male,37,Advanced,Strength,Machine Chest Fly
16.3,Female,47,Beginner,Strength,Barbell Squat
23.5,Male,18,Beginner,Endurance,Push Ups
30.9,Female,57,Intermediate,Endurance,Wall Sit
19.6,Female,59,Advanced,Strength,Deadlift
34.3,Female,36,Beginner,Endurance,Running (Outdoor)
32.2,Female,21,Intermediate,Strength,Lat Pulldown
22.5,Female,59,Advanced,Strength,T-Bar Row
34.1,Female,46,Intermediate,Endurance,Battle Ropes
21.9,Female,22,Beginner,Flexibility,Pigeon Pose
29.1,Male,22,Intermediate,Flexibility,Child's Pose
32.6,Male,24,Beginner,Fat Loss,Kettlebell Swing
29.7,Male,33,Beginner,Endurance,Kettlebell Clean & Press
34.8,Female,38,Beginner,Flexibility,Hamstring Stretch (Standing)
20.4,Female,32,Beginner,Strength,Pull Ups
32.4,Male,50,Advanced,Endurance,Plank
22.5,Male,31,Advanced,Strength,Lat Pulldown
28.1,Female,49,Intermediate,Fat Loss,Mountain Climbers
28.7,Female,21,Beginner,Strength,Deadlift
32.3,Female,52,Beginner,Flexibility,Spiderman Stretch
18.9,Female,60,Advanced,Flexibility,Hamstring Stretch (Standing)
22.1,Male,58,Advanced,Fat Loss,Dumbbell Lunges
19.7,Female,30,Intermediate,Flexibility,Shoulder Pass-Throughs
25.1,Female,35,Advanced,Fat Loss,Mountain Climbers
25.3,Female,19,Intermediate,Flexibility,Pigeon Pose
20.2,Female,23,Advanced,Strength,Lat Pulldown
24.9,Female,47,Beginner,Endurance,Kettlebell Clean & Press
30.7,Female,57,Beginner,Fat Loss,Mountain Climbers
29.6,Male,22,Intermediate,Endurance,Plank
29.4,Female,50,Beginner,Fat Loss,Goblet Squat
20.1,Male,53,Advanced,Endurance,Air Squats
20.9,Female,35,Intermediate,Strength,Barbell Squat
24.5,Female,18,Advanced,Fat Loss,Kettlebell Swing
29.4,Male,59,Advanced,Flexibility,Forward Fold
20.6,Male,37,Beginner,Strength,Barbell Squat
18.3,Male,54,Intermediate,Strength,Deadlift
18.6,Male,27,Beginner,Strength,Leg Press
25.2,Female,39,Beginner,Endurance,Battle Ropes
33.8,Male,36,Advanced,Fat Loss,Jumping Jacks
17.9,Female,45,Beginner,Endurance,Air Squats
34.0,Male,32,Intermediate,Strength,Pull Ups
27.8,Male,55,Beginner,Endurance,Wall Sit
32.3,Female,45,Advanced,Strength,Lat Pulldown
26.6,Male,56,Advanced,Fat Loss,Jump Rope
17.9,Female,45,Beginner,Endurance,Cycling (Outdoor)
20.7,Female,46,Advanced,Fat Loss,Step Ups
33.1,Female,59,Advanced,Fat Loss,Running (Treadmill)
30.2,Female,55,Advanced,Strength,Lat Pulldown
33.5,Female,50,Intermediate,Strength,Dumbbell Rows
22.7,Female,21,Advanced,Fat Loss,Jump Rope
21.4,Female,55,Beginner,Flexibility,Cat-Cow Stretch
20.5,Male,59,Intermediate,Endurance,Recumbent Bike
19.7,Female,30,Intermediate,Flexibility,Hamstring Stretch (Standing)
28.3,Female,31,Intermediate,Endurance,Kettlebell Clean & Press
23.3,Female,36,Intermediate,Fat Loss,Step Ups
23.8,Female,59,Intermediate,Fat Loss,Burpees
24.9,Male,53,Advanced,Strength,Deadlift
29.3,Female,55,Beginner,Endurance,Wall Sit
25.6,Male,51,Beginner,Strength,Dumbbell Rows
23.0,Male,55,Advanced,Fat Loss,Dumbbell Lunges
34.6,Female,50,Intermediate,Flexibility,Hamstring Stretch (Standing)
17.9,Female,35,Advanced,Flexibility,Child's Pose
31.0,Male,46,Intermediate,Flexibility,Forward Fold
20.9,Male,24,Intermediate,Strength,Overhead Press
30.2,Female,55,Beginner,Strength,Machine Chest Fly
26.5,Female,59,Intermediate,Fat Loss,Running (Treadmill)
25.3,Male,22,Intermediate,Strength,Barbell Squat
32.3,Male,54,Beginner,Strength,T-Bar Row
19.7,Female,30,Intermediate,Flexibility,Pigeon Pose
16.4,Female,34,Beginner,Strength,T-Bar Row
22.6,Male,39,Advanced,Fat Loss,Kettlebell Swing
26.7,Female,39,Intermediate,Flexibility,Cat-Cow Stretch
26.5,Female,25,Advanced,Flexibility,Cat-Cow Stretch
24.4,Male,25,Advanced,Strength,Machine Leg Extension
18.8,Male,33,Beginner,Strength,Deadlift
18.3,Female,46,Beginner,Fat Loss,Elliptical Trainer
33.6,Male,38,Advanced,Flexibility,Child's Pose
34.3,Male,59,Beginner,Fat Loss,Burpees
23.3,Male,20,Intermediate,Endurance,Wall Sit
23.8,Male,55,Advanced,Flexibility,Shoulder Pass-Throughs
16.3,Female,60,Beginner,Flexibility,Hamstring Stretch (Standing)
22.2,Male,59,Beginner,Flexibility,Hamstring Stretch (Standing)
25.2,Female,32,Advanced,Fat Loss,Jumping Jacks
20.5,Male,31,Beginner,Fat Loss,Running (Treadmill)
25.2,Female,39,Beginner,Endurance,Recumbent Bike
24.9,Female,47,Beginner,Endurance,Plank
32.7,Male,58,Beginner,Fat Loss,Goblet Squat
28.5,Male,58,Beginner,Endurance,Wall Sit
23.4,Female,46,Intermediate,Endurance,Push Ups
29.7,Male,33,Beginner,Endurance,Wall Sit
